variant_id,title_long,product_type,handle,color,store_name
10038,Assure Blue Lycra Saree with Thread and Sequins Embroidery Work,,assure-blue-lycra-saree-with-thread-and-sequins-embroidery-work,,Store_A
10039,Attractive Blue & Green  Patola Silk Saree,,attractive-blue-green-patola-silk-saree,,Store_A
10040,Attractive Cream Tessar Silk Weaving Saree,,attractive-white-tessar-silk-weaving-saree,,Store_A
10041,Attractive Dark Pink & Green Patola Silk Saree,,copy-of-attractive-dark-pink-green-patola-silk-saree,,Store_A
10042,Attractive Gold Woven Banarasi Silk Saree With Blouse,,attractive-gold-woven-banarasi-silk-saree-with-blouse,,Store_A
10043,Attractive Green & Pink Patola Silk Saree,,attractive-pink-green-patola-silk-saree-1,,Store_A
10044,Attractive Green & Pink Patola Silk Saree,,copy-of-attractive-green-pink-patola-silk-saree,,Store_A
10045,Attractive Green & Wine Patola Silk Saree,,attractive-green-wine-patola-silk-saree,,Store_A
10046,Attractive Look SkyBlue Kanjivaram Silk Saree With Blouse,,attractive-look-skyblue-kanjivaram-silk-saree-with-blouse,,Store_A
10047,Attractive Parrote Green & Pink Patola Silk Saree,,attractive-parrote-green-pink-patola-silk-saree,,Store_A
10048,Attractive Pink & Green Patola Silk Saree,,attractive-pink-green-patola-silk-saree,,Store_A
10049,Attractive Red & Green Patola Silk Saree,,copy-of-attractive-red-green-patola-silk-saree,,Store_A
10050,Attractive Yellow & Green  Patola Silk Saree,,attractive-yellow-green-patola-silk-saree,,Store_A
10051,Attractive Yellow & Pink Patola Silk Saree,,attractive-yellow-pink-patola-silk-saree,,Store_A
10052,Aureolin Yellow Banarasi Silk Saree with Golden Zari Woven Border,,aureolin-yellow-banarasi-silk-saree-with-golden-zari-woven-border,,Store_A
10053,Azalea Pink Modal Sequins Weaving Added Silk Saree,,azalea-pink-modal-sequins-weaving-added-silk-saree,,Store_A
10054,Azure Blue & Golden Shine Kanjivaram Wedding Saree With Blouse,,azure-blue-golden-shine-kanjivaram-wedding-saree-with-blouse,,Store_A
10055,Azure Blue & Golden Zari Woven Kanjivaram Saree With Blouse,,azure-blue-golden-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10056,Azure Purple & Golden Zari Banarasi Silk Saree With Blouse,,azure-purple-golden-zari-banarasi-silk-saree-with-blouse,,Store_A
10057,Baby Blue Pure Tissue Linen With Silver Zari Weaves Temple Border Saree,,baby-blue-pure-tissue-linen-with-silver-zari-weaves-temple-border-saree,,Store_A
10058,Baby Blue Soft Cotton Kalamkari Print Saree,,copy-of-rosewood-pink-soft-cotton-kalamkari-print-saree,,Store_A
10059,Baby Blue Woven Banarasi Silk Saree With Blouse,,baby-blue-woven-banarasi-silk-saree-with-blouse,,Store_A
10060,Baby Pink and Grey Cord and Zari Embroidery Saree with Blouse,,baby-pink-and-grey-cord-and-zari-embroidery-saree-with-blouse,,Store_A
10061,Baby Pink Banarasi Soft Silk Paithani With Zari Border Saree,,baby-pink-banarasi-soft-silk-paithani-with-zari-border-saree,,Store_A
10062,Baby Pink Georgette Embroidery Border Saree,,baby-pink-georgett-embroidery-border-saree,,Store_A
10063,Baby Pink Golden Zari Weaving Banarasi Silk Saree,,baby-pink-golden-zari-weaving-banarasi-silk-saree,,Store_A
10064,Baby Pink Linen Silk Sarees with Gold and Silver Zari Border,,baby-pink-linen-silk-sarees-with-gold-and-silver-zari-border,,Store_A
10065,Baby Pink Patola Gold Zari Weaving Silk Saree,,baby-pink-patola-gold-zari-weaving-silk-saree,,Store_A
10066,Baby Pink Pure Tissue Linen With Silver Zari Weaves Temple Border Saree,,baby-pink-pure-tissue-linen-with-silver-zari-weaves-temple-border-saree,,Store_A
10067,Baby Pink Soft Bamboo silk Saree with Golden Zari border and pallu,,baby-pink-soft-bamboo-silk-saree-with-golden-zari-border-and-pallu,,Store_A
10068,Baby Pink Soft Kasturi Linen Silk Saree,,baby-pink-soft-kasturi-linen-silk-saree,,Store_A
10069,Baby Pink Soft Organza Silk With Beautiful Floral Print Saree,,baby-pink-soft-organza-silk-with-beautiful-floral-print-saree,,Store_A
10070,Baby Pink Zari Base Handloom Weaving Saree,,baby-pink-zari-base-handloom-weaving-saree,,Store_A
10071,Baby Pink Zari Woven Linen Silk Saree With Matching Blouse,,zari-woven-linen-silk-saree-with-matching-blouse-4,,Store_A
10072,Banana Light Yellow Lenen Silk Saree With Blouse,,banana-light-yellow-lenen-silk-saree-with-blouse,,Store_A
10073,Bandhej Design Yellow Color Brasso Silk Saree and Blouse,,bandhej-design-yellow-color-brasso-silk-saree-and-blouse,,Store_A
10074,Barry Blue & green Patola  Kanjivaram Silk Saree With Blouse,,barry-blue-orange-patola-kanjivaram-silk-saree-with-blouse,,Store_A
10075,Basil Green & Golden Zari Woven Kanjivaram Saree With Blouse,,basil-green-golden-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10076,Basil Green Colour Tassar Silk Weaving Saree With Beautiful Zari Woven Work,,copy-of-yellow-colour-handloom-linen-silk-saree-with-grandeur-tissue-pallu,,Store_A
10077,Basil Green Temple Bordered Paithani Silk Saree With Red blouse,,copy-of-pine-green-and-silver-paithani-silk-saree-with-pink-blouse,,Store_A
10078,Batique Design Turmeric Color Brasso Silk Saree,,batique-design-turmeric-color-saree-with-matching-blouse,,Store_A
10079,Beautiful Baby Pink Litchi Silk Saree With Rich Pallu And Blouse,,beautiful-baby-pink-litchi-silk-saree-with-rich-pallu,,Store_A
10080,Beautiful Green Zari Base Handloom Weaving Saree,,beautiful-green-zari-base-handloom-weaving-saree,,Store_A
10081,Beautiful Hot Purple Shine Kanjivaram Wedding Saree With Blouse,,beautiful-hot-pink-shine-kanjivaram-wedding-saree-with-blouse,,Store_A
10082,Beauty Black Leheriya zari Weaving Soft Silk Saree With Heavy Pallu,,beauty-black-leheriya-zari-weaving-soft-silk-saree-with-heavy-pallu,,Store_A
10083,Beauty Black Soft Raw Silk Saree with Checks Blouse,,beauty-black-soft-raw-silk-saree-with-checks-blouse,,Store_A
10084,Beige color Handloom Zari Weaving Silk Saree With Woven Border,,cream-color-handloom-zari-weaving-silk-saree-with-woven-border,,Store_A
10085,Beige color modal Silk With Silver Zari Weaving Sari With Matching Blouse,,beige-color-modal-silk-with-silver-zari-weaving-sari-with-matching-blouse,,Store_A
10086,Beige Fancy Tassel Border Saree,,biege-fancy-tassel-border-saree,,Store_A
10087,Beige Kanjivaram Zari Weaving Silk Saree With Woven Butti and border,,beige-kanjivaram-zari-weaving-silk-saree-with-woven-butti-and-border,,Store_A
10088,Beige Kanjivaram Zari Weaving Silk Saree With Woven Butti and border,,beige-kanjivaram-zari-weaving-silk-saree-with-woven-butti-and-border-1,,Store_A
10089,Beige Kanjivaram Zari Weaving Silk Saree With Woven Butti and border,,beige-kanjivaram-zari-weaving-silk-saree-with-woven-butti-and-border-2,,Store_A
10090,Beige Silk Embroidered Saree With Green Blouse,,copy,,Store_A
10091,Beige Soft Luckhnowi Rich Pallu weaving Linen Saree,,beige-soft-luckhnowi-rich-pallu-weaving-linen-saree,,Store_A
10092,Beige Super Soft Light Cream Tissue Woven  Silk Saree With Blouse,,beige-super-soft-light-cream-tissue-woven-banarasi-silk-saree-with-blouse,,Store_A
10093,Berry Black Kashmiri Modal Handloom Weaving Saree,,berry-black-kashmiri-modal-handloom-weaving-saree,,Store_A
10094,Berry Blue Banarasi Silk Saree With Matching Blue Blouse,,copy-of-charcoal-black-banarasi-silk-saree-with-matching-black-blouse,,Store_A
10095,Berry Navy Blue Printed Woven Paithani Silk Saree With Blouse,,berry-navy-blue-printed-woven-paithani-silk-saree-with-blouse,,Store_A
10096,Berry Red Colour 3D Chiffon Saree With Sequence Blouse,,berry-red-colour-3d-velvet-chiffon-saree-with-sequence-blouse,,Store_A
10097,Berry Red Tussar Silk Copper Zari Weaving Saree,,berry-red-tussar-silk-copper-zari-weaving-saree,,Store_A
10098,Biege Model Squins Weaving Value Added Woven saree,,biege-model-squins-weaving-value-added-woven-saree,,Store_A
10099,Birch Off-white and Red Zari Woven Kanjivaram Saree With Blouse,,birch-off-white-and-maroon-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10100,Black & Gold Zari Woven Kanjivaram Saree With Blouse,,black-gold-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10101,Black Banarasi tussar silk paithani saree,,black-banarasi-tussar-silk-paithani-saree,,Store_A
10102,Black Color Exclusive Zari Border Saree With Woven Pallu,,black-color-exclusive-zari-border-saree-with-woven-pallu,,Store_A
10103,Black Color Golden Checks Design Soft Raw Silk Saree,,black-color-chex-design-soft-raw-silk-saree,,Store_A
10104,Black Color Handloom Weaving Silk with Gotta lace border,,black-color-handloom-weaving-silk-with-gotta-lace-border,,Store_A
10105,Black Color Polka dot Pure Sattin Crepe Saree And Digital print Blouse,,black-color-polka-dot-pure-sattin-crepe-saree-and-digital-print-blouse,,Store_A
10106,Black Current Kashmiri Modal Handloom Weaving Saree,,black-current-kashmiri-modal-handloom-weaving-saree,,Store_A
10107,Black Pure Jacquard With Beautiful Tassels Wedding Wear Saree,,black-pure-jacquard-with-beautiful-tassels-wedding-wear-saree,,Store_A
10108,Black Soft banarasi katan silk saree,,black-soft-banarasi-katan-silk-saree,,Store_A
10109,Black Soft Kanchipuram Silk With Fancy Tassels Saree,,black-soft-kanchipuram-silk-with-fancy-tassels-saree,,Store_A
10110,Black Soft Linen Cotton With Beautiful Kalamkari Print Saree,,gray-soft-linen-cotton-with-beautiful-kalamkari-print-saree,,Store_A
10111,Black Tussar silk Pure Paithani With Pure Zari Woven Border Saree,,black-tussar-silk-pure-paithani-with-pure-zari-woven-border,,Store_A
10112,Blonde Gold Kanjivaram Silk Saree With Zari Border Blouse,,blonde-yellow-kanjivaram-silk-saree-with-zari-border-blouse,,Store_A
10113,Blonde Yellow Lucknowi Work Silk Saree With Designer Blouse,,blonde-yellow-lucknowi-work-cotton-silk-saree-with-designer-blouse,,Store_A
10114,Blood Red & Golden Zari Woven Kanjivaram Saree With Blouse,,blood-red-golden-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10115,Blood Red Bandhani Design Soft Kanjivaram Silk Saree,,blood-red-bandhani-design-soft-kanjivaram-silk-saree,,Store_A
10116,Blooming Hot Pink Kanjivaram Silk Saree With Blouse,,blooming-hot-pink-kanjivaram-silk-saree-with-blouse,,Store_A
10117,Blooming Sky Blue Lenen Silk Saree With Blouse,,blooming-sky-blue-lenen-silk-saree-with-blouse,,Store_A
10118,Blue Banarasi Soft Silk Paithani Saree,,blue-banarasi-soft-silk-paithani-saree,,Store_A
10119,Blue Banarasi Soft Silk Paithani With Zari Border Saree,,blue-banarasi-soft-silk-paithani-with-zari-border-saree,,Store_A
10120,Blue Banarasi tussar silk paithani saree,,blue-banarasi-tussar-silk-paithani-saree,,Store_A
10121,Blue color 3D Chiffon Saree With Sequence Blouse,,blue-color-3d-velvet-chiffon-saree-with-sequence-blouse,,Store_A
10122,Blue Flower Designed  Soft Banarasi Katan Silk Saree,,flower-designed-soft-banarasi-katan-silk-saree,,Store_A
10123,Blue Golden Zari Weaving Banarasi Silk Saree,,blue-golden-zari-weaving-banarasi-silk-saree,,Store_A
10124,Blue Handloom Zari Weaving Silk Saree With Blouse,,copy-of-fuscia-pink-handloom-zari-weaving-silk-saree-with-blouse,,Store_A
10125,Blue Linen Silk Saree With Zari Woven Pallu & Border With Blouse,,silk-saree-with-silver-gold-zari-woven-and-handmaded-zari-pallu-5,,Store_A
10126,Blue Patola Gold Zari Weaving Silk Saree,,copy-of-green-patola-gold-zari-weaving-silk-saree,,Store_A
10127,Blue Pure Banarasi Silk Bandhani Type Saree,,blue-pure-banarasi-silk-bandhani-type-saree,,Store_A
10128,Blue Pure Jacquard With Beautiful Tassels Wedding Wear Saree,,blue-pure-jacquard-with-beautiful-tassels-wedding-wear-saree,,Store_A
10129,Blue Pure Linen Saree With Different Beautiful Designs Saree,,blue-pure-linen-saree-with-different-beautiful-designs-saree,,Store_A
10130,Blue Sambalpuri Cotton With Resham Woven Butti Saree,,blue-sambalpuri-cotton-with-resham-woven-butti-saree,,Store_A
10131,Blue Soft banarasi katan silk saree,,blue-soft-banarasi-katan-silk-saree,,Store_A
10132,Blue Soft Silk Minakari Zari Woven Saree,,blue-soft-silk-minakari-zari-woven-saree,,Store_A
10133,Blue Tassar silk Weaving With Beautiful Zari Border Saree,,blue-tassar-silk-weaving-with-beautiful-zari-border-saree,,Store_A
10134,Blue Tussar silk Pure Paithani With Pure Zari Woven Border Saree,,blue-tussar-silk-pure-paithani-with-pure-zari-woven-border,,Store_A
10135,Blue Tussar Silk Saree With Ikkat Woven Border and Fancy Pallu,,tussar-silk-saree-with-ikkat-woven-border-and-fancy-pallu,,Store_A
10136,Blue woven banarasi silk designer traditional saree,,blue-woven-banarasi-silk-designer-traditional-saree,,Store_A
10137,Blush Pink Banarasi Silk Saree with beautiful Meenakari pallu and border,,copy-of-dark-pink-banarasi-silk-saree-with-beautiful-meenakari-pallu-and-border-1,,Store_A
10138,Blush Pink Banarasi Wedding Saree with Matching Blouse,,banarasi-weaving-silk-saree-with-matching-blouse,,Store_A
10139,Bone White Color Soft Kanjivaram Silk Saree with Matching Blouse,,bone-white-color-soft-kanjivaram-silk-saree-with-matching-blouse,,Store_A
10140,Bone White Soft Kanjivaram Saree with Flower Design Border,,french-white-soft-kanjivaram-saree-with-flower-design-border,,Store_A
10141,Brasso Silk Corn Yellow And Sky color saree with Work Blouse,,brasso-silk-saree-with-work-blouse,,Store_A
10142,Brinjal Colour Soft Handloom Zari Weaving Silk Saree,,copy-of-cream-colour-soft-handloom-zari-weaving-silk-saree,,Store_A
10143,Brink Pink Soft Tissue Silk Saree With Banarasi Border and Green Blouse,,soft-tissue-silk-saree-with-banarasi-border-and-red-blouse,,Store_A
10144,British Racing Green Paithani Silk Saree in Patched Border with Unique Latkan,,british-racing-green-paithani-silk-saree-in-patched-border-with-unique-latkan,,Store_A
10145,Brown Pure Linen Saree With Different Beautiful Designs Saree,,brown-pure-linen-saree-with-different-beautiful-designs-saree,,Store_A
10146,Bumblebee Yellow Silk Saree with Floral Woven Border and Pallu,,silk-saree-with-floral-woven-border-and-pallu-1,,Store_A
10147,Burgundy Color multy Design Brasso Silk saree with Work Blouse,,burgundy-color-multy-design-brasso-silk-saree-with-work-blouse,,Store_A
10148,Butter Yellow Embroidered Saree with Green Designer Blouse,,copy-of-softwhest-cream-silk-embroidered-saree-with-designer-blouse,,Store_A
10149,Butterfly Sky Golden Zari Shine Soft Kanjivaram Silk Wedding Saree,,butterfly-sky-golden-zari-shine-soft-kanjivaram-silk-wedding-saree-with-blouse,,Store_A
10150,Cadet Blue Tessar Silk Weaving Saree,,cadet-blue-tessar-silk-weaving-saree,,Store_A
10151,Canary Yellow and Golden Zari Woven Pure Silk Saree With Brown Blouse,,and-golden-zari-woven-pure-silk-saree-with-pink-blouse,,Store_A
10152,Canary Yellow Soft Tissue Silk Saree With Banarasi Border and Red Blouse,,yellow-soft-tissue-silk-saree-with-banarasi-border-and-red-blouse,,Store_A
10153,Candy Red Banarasi Wedding Saree with Matching Blouse,,color-soft-handloom-weaving-silk-saree-with-blouse,,Store_A
10154,Candy Red Handloom Zari Weaving Silk Saree With Blouse,,copy-of-purple-handloom-zari-weaving-silk-saree-with-blouse,,Store_A
10155,Cantaloupe Orange Banarasi Cotton with Chikankari lakhnavi Weaving Saree,,cantaloupe-orange-banarasi-cotton-with-chikankari-lakhnavi-weaving-saree,,Store_A
10156,Cantaloupe Orange Zari Butta Pure Satin Weaving Silk Sarees With Matching Blouse,,copy-of-pistachio-green-zari-butta-pure-satin-weaving-silk-sarees-with-matching-blouse,,Store_A
10157,Carrot Orange Bandhani Design Silk Saree With Embroidery Work Blouse,,bandhani-design-silk-saree-with-embroidery-work-blouse-8,,Store_A
10158,Cerise Pink & Golden Zari Waving Kanjivaram Saree,,ceris-pink-golden-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10159,Cerulean Blue and Golden Zari Woven Pure Silk Saree With Orange Blouse,,and-golden-zari-woven-pure-silk-saree-with-brown-blouse,,Store_A
10160,Cerulean Blue Colour Soft Handloom Zari Weaving Silk Saree,,copy-of-pure-green-colour-paithani-saree-with-maroon-worked-blouse,,Store_A
10161,Cerulean Blue Silver and Gold Zari Weaved Silk Saree,,cerulean-blue-silver-and-gold-zari-weaved-kanchipuram-silk-saree,,Store_A
10162,Charcoal Black & Golden Zari Banarasi Silk Saree With Blouse,,kaarika,,Store_A
10163,Charcoal Black & Golden Zari Woven Kanjivaram Silk  Saree With Blouse,,charcoal-black-golden-zari-woven-kanjivaram-silk-saree-with-blouse,,Store_A
10164,Charcoal Black Banarasi Silk Saree With Matching Black Blouse,,copy-of-forest-green-kanjivaram-saree-with-matching-green-blouse,,Store_A
10165,Charming Optic Green Woven Patola Silk Saree with Classic Border,,charming-optic-green-woven-patola-silk-saree-with-classic-border,,Store_A
10166,Cherry Red Kanjivaram Saree With Matching Red Blouse,,cherry-red-kanjivaram-saree-with-matching-red-blouse,,Store_A
10167,Cherry Red Woven Kanjivaram Wedding Saree,,cherry-red-woven-kanjivaram-wedding-saree,,Store_A
10168,Cherry Red Zari Butta Linen Silk Saree With Blouse,,graceful-lenen-silk-saree-with-blouse,,Store_A
10169,Chestnut Brown Colour 3D Chiffon Saree With Sequence Blouse,,chestnut-brown-colour-3d-velvet-chiffon-saree-with-sequence-blouse,,Store_A
10170,Chiffon Cream Handloom Weaving Silk with Gotta lace border,,copy-of-gray-color-handloom-weaving-silk-with-gotta-lace-border,,Store_A
10171,Chikoo and Maroon Combination Brasso Silk saree with Work Blouse,,chikoo-and-maroon-combination-brasso-silk-saree-with-work-blouse,,Store_A
10172,Chikoo Color Paithani Silk Woven Pallu Saree With Designer Blouse,,paithani-silk-woven-pallu-saree-with-designer-blouse,,Store_A
10173,Chikoo color Soft Linen with Lucknowi weaving Border and Gota patti work,,chikoo-color-soft-linen-with-lucknowi-weaving-border-and-gota-patti-work,,Store_A
10174,Chiku Color Linen Silk Saree With Woven Butti Pallu and Blouse,,pure-linen-silk-saree-with-woven-pallu-and-woven-butti,,Store_A
10175,Chiku Colour  Tassar Silk Weaving Saree With Beautiful Zari Woven Work,,copy-of-basil-green-tassar-silk-weaving-saree-with-beautiful-zari-woven-work,,Store_A
10176,Chiku Linen Silk Saree With Zari Woven Pallu & Border With Blouse,,linen-silk-saree-with-zari-woven-pallu-border-with-blouse,,Store_A
10177,Closet mix Off-white and Pink Silk Saree With Blouse,,closet-mix-off-white-and-pink-silk-saree-with-blouse,,Store_A
10178,Closet mix Off-white and Pink Zari Border Saree With Blouse,,closet-mix-off-white-and-pink-zari-border-saree-with-blouse,,Store_A
10179,Coal Black Silver and Gold Zari Weaved Silk Saree,,coal-black-silver-and-gold-zari-weaved-silk-saree,,Store_A
10180,Coffee Color  Linen Cotton saree with Beautiful Digital print and Zari Lining Pallu,,soft-linen-cotton-saree-with-beautiful-digital-print-and-zari-lining-all-over-with-tassels-at-pallu,,Store_A
10181,Coffee Sambalpuri Cotton With Fancy Tassels Saree,,coffee-sambalpuri-cotton-with-fancy-tassels-saree,,Store_A
10182,Coffee Tassar silk Weaving With Beautiful Zari Border Saree,,coffee-tassar-silk-weaving-with-beautiful-zari-border-saree,,Store_A
10183,Coin Gray Banarasi Cotton with Chikankari lakhnavi Weaving Saree,,coin-gray-banarasi-cotton-with-chikankari-lakhnavi-weaving-saree,,Store_A
10184,Coin Gray Golden Checks Design Soft Raw Silk Saree,,coin-gray-golden-chex-design-soft-raw-silk-saree,,Store_A
10185,Coin Gray Handloom Zari Weaving Silk Saree With Woven Border,,coin-gray-handloom-zari-weaving-silk-saree-with-woven-border,,Store_A
10186,Coin Grey Pure Paithani  Silk Saree With Silver Zari Border Blouse,,coin-grey-pure-paithani-silk-saree-with-silver-zari-weaving-border-blouse,,Store_A
10187,Cookie Dough Zari Base Handloom Weaving Saree,,attractive-cream-zari-base-handloom-weaving-saree,,Store_A
10188,Copper Tussar silk Pure Paithani With Pure Zari Woven Border Saree,,copper-tussar-silk-pure-paithani-with-pure-zari-woven-border-saree,,Store_A
10189,Copper Tussar Silk Saree With Ikkat Woven Border and Fancy Pallu,,tussar-silk-saree-with-ikkat-woven-border-and-fancy-pallu-1,,Store_A
10190,Coral Bead Copper Zari Handloom Weaving Silk Saree,,coral-bead-copper-zari-handloom-weaving-silk-saree,,Store_A
10191,Coral Peach All Over Design Soft Kanjivaram Silk Saree,,coral-peach-all-over-design-soft-kanjivaram-silk-saree,,Store_A
10192,Coral Pink Art silk Saree,,coral-pink-art-silk-saree,,Store_A
10193,Corn Yellow And Golden Zari Design Border With Blouse,,and-golden-zari-butta-design-border-with-blouse-2,,Store_A
10194,Corn Yellow Linen Silk Saree With Blouse,,corn-yellow-linen-silk-saree-with-blouse,,Store_A
10195,Cream Color Linen Cotton saree with Beautiful Digital print and Zari Lining Pallu,,cream-color-linen-cotton-saree-with-beautiful-digital-print-and-zari-lining-pallu,,Store_A
10196,Cream color Soft Linen with Lucknowi weaving Border and Gota patti work,,cream-color-soft-linen-with-lucknowi-weaving-border-and-gota-patti-work,,Store_A
10197,Cream Colour Handloom Linen Silk Saree With Grandeur Tissue Pallu,,cream-colour-handloom-linen-silk-saree-with-amazing-pallu,,Store_A
10198,Cream Colour ikkat Border Tassar Silk Saree With Blouse For Comfy look,,copy-of-auspicious-pine-green-zari-weaving-lichi-silk-saree-with-blouse,,Store_A
10199,Cream Colour Soft Handloom Zari Weaving Silk Saree,,copy-of-stone-blue-colour-soft-handloom-zari-weaving-silk-saree,,Store_A
10200,Cream Cotton Silk Saree With Ikkat Woven Designs Pallu And Blouse,,soft-silk-saree-with-ikkat-woven-designs-pallu-and-blouse,,Store_A
10201,Cream Golden Zari Shine Kanjivaram Wedding Saree With Blouse,,cream-golden-zari-shine-kanjivaram-wedding-saree-with-blouse-1,,Store_A
10202,Cream Handloom Linen saree With Meenakari weaved classic tissue pallu,,cream-handloom-linen-saree-with-meenakari-weaved-grand-classic-tissue-pallu,,Store_A
10203,Cream Jacquard Woven Design Saree With Embroidered Blouse,,pink-jacquard-woven-design-saree-with-embroidered-blouse-1,,Store_A
10204,Cream Linen Silk Sarees with Gold and Silver Zari Border,,cream-linen-silk-sarees-with-gold-and-silver-zari-border,,Store_A
10205,Cream Pure Tissue Linen With Silver Zari Weaves Temple Border Saree,,cream-pure-tissue-linen-with-silver-zari-weaves-temple-border-saree,,Store_A
10206,Cream Semi Tussar Silk With Ikkat Weaves Checks Fancy Tassels Saree,,cream-semi-tussar-silk-with-ikkat-weaves-checks-fancy-tassels-saree,,Store_A
10207,Cream Tussar Silk Saree With Ikkat Woven Border and Fancy Pallu,,tussar-silk-saree-with-ikkat-woven-border-and-fancy-pallu-2,,Store_A
10208,Cream Woven Kanjivaram Wedding Saree With Blouse,,cream-woven-kanjivaram-wedding-saree-with-blouse,,Store_A
10209,Cream Zari Woven Linen Silk Saree With Matching Blouse,,zari-woven-linen-silk-saree-with-matching-blouse-1,,Store_A
